,day,hours,buy_volume,sell_volume,volume,price
0,2021-11-28,1.0,"1,866.2","3,332.8","3,332.8",189.0
1,2021-11-28,2.0,"2,019.2","3,400.0","3,400.0",192.0
2,2021-11-28,3.0,"2,392.8","3,600.9","3,600.9",188.0
3,2021-11-28,4.0,"2,372.0","3,727.7","3,727.7",181.0
4,2021-11-28,5.0,"2,387.8","3,795.6","3,795.6",176.0
5,2021-11-28,6.0,"2,525.4","3,806.0","3,806.0",174.0
6,2021-11-28,7.0,"2,430.3","3,811.4","3,811.4",181.0
7,2021-11-28,8.0,"2,461.9","3,878.4","3,878.4",185.0
8,2021-11-28,9.0,"2,328.5","4,185.5","4,185.5",186.0
9,2021-11-28,10.0,"2,250.0","4,515.2","4,515.2",200.0
10,2021-11-28,11.0,"2,292.4","4,937.7","4,937.7",203.0
11,2021-11-28,12.0,"2,138.1","4,897.2","4,897.2",210.0
12,2021-11-28,13.0,"2,079.8","4,779.5","4,779.5",210.0
13,2021-11-28,14.0,"1,999.4","4,531.1","4,531.1",198.0
14,2021-11-28,15.0,"2,052.6","4,380.2","4,380.2",198.0
15,2021-11-28,16.0,"2,260.6","4,561.0","4,561.0",205.0
16,2021-11-28,17.0,"2,039.0","4,555.4","4,555.4",217.0
17,2021-11-28,18.0,"2,537.7","4,601.9","4,601.9",245.0
18,2021-11-28,19.0,"2,293.6","4,784.8","4,784.8",248.0
19,2021-11-28,20.0,"2,244.2","4,854.9","4,854.9",235.0
20,2021-11-28,21.0,"2,288.1","4,127.3","4,127.3",196.0
21,2021-11-28,22.0,"2,143.0","3,462.9","3,462.9",189.0
22,2021-11-28,23.0,"2,119.7","3,015.8","3,015.8",192.0
23,2021-11-28,24.0,"2,293.9","2,702.4","2,702.4",158.0
