WINTERTIJD;ZOMERTIJD;Leveren;Terugleveren;TOTAAL
01/01/2021 00:15;01/01/2021 00:15;530;0;530
01/01/2021 00:30;01/01/2021 00:30;521;0;521
01/01/2021 00:45;01/01/2021 00:45;533;0;533
01/01/2021 01:00;01/01/2021 01:00;526;0;526
01/01/2021 01:15;01/01/2021 01:15;529;0;529
01/01/2021 01:30;01/01/2021 01:30;520;0;520
01/01/2021 01:45;01/01/2021 01:45;537;0;537
01/01/2021 02:00;01/01/2021 02:00;539;0;539
01/01/2021 02:15;01/01/2021 02:15;542;0;542
01/01/2021 02:30;01/01/2021 02:30;532;0;532
01/01/2021 02:45;01/01/2021 02:45;525;0;525
01/01/2021 03:00;01/01/2021 03:00;535;0;535
01/01/2021 03:15;01/01/2021 03:15;512;0;512
01/01/2021 03:30;01/01/2021 03:30;531;0;531
01/01/2021 03:45;01/01/2021 03:45;519;0;519
01/01/2021 04:00;01/01/2021 04:00;535;0;535
01/01/2021 04:15;01/01/2021 04:15;530;0;530
01/01/2021 04:30;01/01/2021 04:30;530;0;530
01/01/2021 04:45;01/01/2021 04:45;525;0;525
01/01/2021 05:00;01/01/2021 05:00;525;0;525
01/01/2021 05:15;01/01/2021 05:15;507;0;507
01/01/2021 05:30;01/01/2021 05:30;491;0;491
01/01/2021 05:45;01/01/2021 05:45;533;0;533
01/01/2021 06:00;01/01/2021 06:00;523;0;523
01/01/2021 06:15;01/01/2021 06:15;511;0;511
01/01/2021 06:30;01/01/2021 06:30;537;0;537
01/01/2021 06:45;01/01/2021 06:45;541;0;541
01/01/2021 07:00;01/01/2021 07:00;527;0;527
01/01/2021 07:15;01/01/2021 07:15;523;0;523
01/01/2021 07:30;01/01/2021 07:30;507;0;507
01/01/2021 07:45;01/01/2021 07:45;497;0;497
01/01/2021 08:00;01/01/2021 08:00;514;0;514
01/01/2021 08:15;01/01/2021 08:15;493;0;493
01/01/2021 08:30;01/01/2021 08:30;535;0;535
01/01/2021 08:45;01/01/2021 08:45;519;0;519
01/01/2021 09:00;01/01/2021 09:00;513;0;513
01/01/2021 09:15;01/01/2021 09:15;476;0;476
01/01/2021 09:30;01/01/2021 09:30;473;0;473
01/01/2021 09:45;01/01/2021 09:45;485;0;485
01/01/2021 10:00;01/01/2021 10:00;484;0;484
01/01/2021 10:15;01/01/2021 10:15;495;0;495
01/01/2021 10:30;01/01/2021 10:30;474;0;474
01/01/2021 10:45;01/01/2021 10:45;449;0;449
01/01/2021 11:00;01/01/2021 11:00;425;0;425
01/01/2021 11:15;01/01/2021 11:15;398;0;398
01/01/2021 11:30;01/01/2021 11:30;409;0;409
01/01/2021 11:45;01/01/2021 11:45;284;0;284
01/01/2021 12:00;01/01/2021 12:00;216;0;216
01/01/2021 12:15;01/01/2021 12:15;324;0;324
01/01/2021 12:30;01/01/2021 12:30;435;0;435
01/01/2021 12:45;01/01/2021 12:45;445;0;445
01/01/2021 13:00;01/01/2021 13:00;387;0;387
01/01/2021 13:15;01/01/2021 13:15;371;0;371
01/01/2021 13:30;01/01/2021 13:30;361;0;361
